NivelEsfuerzo,NivelReward,Condición,Decisión,PresionesHechas,ÉxitoTarea,CréditosGanados,TiempoReacciónDecisión,TiempoReacciónPrimerPresión,TiempoReacciónÚltimaPresión
65,3,Self,task,48,True,3,2566,1261,7171
95,2,Self,resting,0,True,1,2790,1261,7171
80,4,Self,task,59,True,4,2174,855,8770
65,5,Self,task,48,True,5,2419,898,6429
50,3,Self,resting,0,True,1,2511,898,6429
80,3,Other,task,59,True,3,5982,1309,8970
65,5,Other,task,48,True,5,2120,858,7116
95,4,Self,resting,0,True,1,2890,858,7116
95,5,Self,task,70,True,5,4540,801,9823
65,2,Self,resting,0,True,1,1386,801,9823
65,3,Self,task,48,True,3,1591,821,6957
95,2,Other,resting,0,True,1,3195,821,6957
50,5,Other,task,37,True,5,1454,1168,5258
95,4,Self,resting,0,True,1,1454,1168,5258
50,5,Self,task,37,True,5,1454,632,5273
95,5,Other,resting,0,True,1,2625,632,5273
80,4,Other,task,59,True,4,1632,836,7678
95,3,Other,no decision,0,True,0,None,836,7678
80,3,Other,task,59,True,3,1830,609,8258
50,4,Other,task,37,True,4,4242,596,4925
80,2,Other,task,59,True,2,2079,565,7517
95,4,Other,resting,0,True,1,1632,565,7517
80,4,Other,task,59,True,4,1914,721,8040
95,3,Self,resting,0,True,1,1546,721,8040
65,3,Other,task,48,True,3,1347,908,7187
95,3,Other,resting,0,True,1,2593,908,7187
80,2,Other,task,59,True,2,1186,571,8956
50,3,Self,task,37,True,3,3023,901,4178
95,4,Other,task,70,True,4,3068,436,7151
65,4,Other,resting,0,True,1,2602,436,7151
65,5,Other,task,48,True,5,1047,501,4788
95,5,Self,task,70,True,5,2282,749,7501
95,5,Self,task,70,True,5,1866,776,8981
50,5,Self,resting,0,True,1,3903,776,8981
80,2,Self,task,59,True,2,1079,768,8006
65,4,Self,resting,0,True,1,1362,768,8006
80,3,Other,task,59,True,3,2447,819,8528
95,5,Other,task,70,True,5,2982,409,8239
65,2,Other,task,48,True,2,1291,494,6005
80,5,Self,task,59,True,5,1652,573,8240
65,5,Self,task,48,True,5,1451,572,7147
50,4,Self,resting,0,True,1,2571,572,7147
50,5,Other,task,37,True,5,1350,596,4652
50,5,Other,task,37,True,5,2189,890,5343
65,5,Other,resting,0,True,1,1007,890,5343
95,4,Self,no decision,0,True,0,None,890,5343
80,2,Other,resting,0,True,1,1633,890,5343
65,2,Self,resting,0,True,1,1813,890,5343
50,4,Other,task,37,True,4,1583,511,6599
65,3,Self,task,48,True,3,3024,693,6992
80,5,Self,task,16,False,0,1484,752,7648
95,2,Self,task,11,False,0,1403,886,4844
80,3,Self,resting,0,True,1,1434,886,4844
95,2,Other,task,22,False,0,943,825,9256
95,2,Self,resting,0,True,1,1630,825,9256
95,4,Self,task,18,False,0,4792,7324,9987
65,4,Self,task,48,True,4,1249,507,6883
50,5,Other,task,37,True,5,1917,411,4140
65,4,Other,task,48,True,4,2360,1322,6069
50,3,Other,task,36,False,0,3443,796,4844
80,5,Other,task,59,True,5,2665,577,7884
50,4,Self,task,37,True,4,1320,961,5320
95,3,Self,resting,0,True,1,1918,961,5320
95,4,Other,resting,0,True,1,1524,961,5320
50,2,Self,resting,0,True,1,1239,961,5320
80,5,Self,task,59,True,5,1442,527,8314
65,2,Other,resting,0,True,1,1750,527,8314
50,5,Self,task,37,True,5,1520,850,5625
80,2,Self,resting,0,True,1,1579,850,5625
65,3,Other,task,34,False,0,2908,5903,9979
80,2,Self,task,59,True,2,1361,929,7402
95,5,Self,task,70,True,5,5601,764,8108
80,4,Self,resting,0,True,1,2546,764,8108
80,5,Other,no decision,0,True,0,None,764,8108
65,3,Other,resting,0,True,1,2319,764,8108
65,2,Self,resting,0,True,1,4899,764,8108
50,2,Other,task,37,True,2,1696,527,5245
50,2,Self,no decision,0,True,0,None,527,5245
95,2,Other,task,70,True,2,2175,1152,9103
